recno,Mm,Cl,n_Cl,[DSP99],z,u_z,q_z,[OII],u_[OII],Hdelta,u_Hdelta,D4000,u_D4000,oRA,oDE,MType,D,magGB,ColGB,spFile,_RA,_DE
302,c,"Cl 0939+47", ,28,0.4032, ,2,0.0, ,, ,2.38, ,-99.5,49.9," ",,,,"cl0939/cl0939ewb_14.fits  ",145.6937,47.0003
671,f,"Cl 0939+47", ,135,0.0, ,1,, ,, ,, ,-241.4,51.9," ",,,,"cl0939/cl0939ewb_4.fits   ",145.6359,47.0009
322,c,"Cl 0939+47", ,48,0.3992, ,2,-50.1, ,7.4, ,2.16, ,-236.3,59.3," ",,,,"cl0939/cl0939ewf_3.fits   ",145.638,47.0029
552,f,"Cl 0939+47", ,75,0.2824, ,2,0.0, ,0.0, ,1.67, ,50.5,-40.8,"Sbc",1,19.57,0.83,"cl0939/cl0939dg92_270.fits",145.7548,46.9751
321,c,"Cl 0939+47", ,47,0.4059, ,2,-7.3, ,11.0, ,1.66, ,51.1,-30.0,"Sd",2,21.54,0.8,"cl0939/cl0939ewf_21.fits  ",145.755,46.9781
571,f,"Cl 0939+47", ,94,0.4575, ,1,-27.8, ,5.9, ,1.61, ,66.1,-14.3,"Sd?",2,,,"cl0939/cl0939ewf_22.fits  ",145.7611,46.9825
336,c,"Cl 0939+47", ,62,0.4165, ,2,-12.7, ,8.2, ,1.51, ,72.5,1.3,"Sbc",2,21.35,0.65,"cl0939/cl0939nsb_7.fits   ",145.7637,46.9868
330,c,"Cl 0939+47", ,56,0.4108, ,2,0.0, ,, ,1.98, ,107.3,-22.4,"E",0,20.7,1.57,"cl0939/cl0939mba_16.fits  ",145.7779,46.9802
593,f,"Cl 0939+47", ,116,0.2432, ,2,-43.5, ,, ,1.87, ,103.8,-20.3,"Scd",2,20.81,0.42,"cl0939/cl0939nsb_6.fits   ",145.7765,46.9808
586,f,"Cl 0939+47", ,109,0.4568, ,3,0.0, ,, ,1.78, ,108.7,4.7,"Sb",2,21.42,1.52,"cl0939/cl0939maa_20.fits  ",145.7785,46.9877
576,f,"Cl 0939+47", ,99,0.6929,:,4,-91.4, ,0.0, ,, ,128.8,12.0,"S0/E",1,,,"cl0939/cl0939ewf_27.fits  ",145.7867,46.9898
555,f,"Cl 0939+47", ,78,0.2803, ,1,0.0, ,0.0, ,1.96, ,120.9,11.6,"S0",1,19.53,1.2,"cl0939/cl0939dg92_396.fits",145.7834,46.9897
290,c,"Cl 0939+47", ,16,0.4018, ,2,0.0, ,, ,2.09, ,130.4,22.5,"E",0,20.38,1.58,"cl0939/cl0939dg92_427.fits",145.7873,46.9927
553,f,"Cl 0939+47", ,76,0.2816, ,2,0.0, ,0.0, ,2.03, ,93.8,-6.7,"S0",0,20.44,1.09,"cl0939/cl0939dg92_349.fits",145.7724,46.9846
556,f,"Cl 0939+47", ,79,0.4577, ,1,0.0, ,0.0, ,1.97, ,104.0,12.1,"E/S0",1,20.42,1.74,"cl0939/cl0939dg92_398.fits",145.7766,46.9898
557,f,"Cl 0939+47", ,80,2.0531, ,1,, ,, ,, ,115.6,28.1,"X",0,21.35,-0.04,"cl0939/cl0939dg92_440.fits",145.7813,46.9943
574,f,"Cl 0939+47", ,97,0.7083,:,3,-16.4, ,0.0, ,1.02, ,112.3,33.6,"Sc?",3,,,"cl0939/cl0939ewf_25.fits  ",145.7799,46.9958
283,c,"Cl 0939+47", ,9,0.4111, ,1,0.0, ,8.6, ,1.68, ,39.7,-19.2,"Sc",3,20.47,1.06,"cl0939/cl0939dg92_320.fits",145.7504,46.9811
288,c,"Cl 0939+47", ,14,0.4014, ,2,0.0, ,4.6, ,2.36, ,67.3,11.2,"E",0,20.4,1.68,"cl0939/cl0939dg92_393.fits",145.7616,46.9896
554,f,"Cl 0939+47", ,77,0.5087, ,2,0.0, ,0.0, ,2.32, ,64.0,11.1,"S0/Sb",0,21.51,1.31,"cl0939/cl0939dg92_392.fits",145.7603,46.9895
337,c,"Cl 0939+47", ,63,0.407,:,3,0.0, ,, ,1.74, ,43.2,15.6,"Scd",0,21.67,1.15,"cl0939/cl0939nsb_8.fits   ",145.7518,46.9908
587,f,"Cl 0939+47", ,110,0.3607, ,3,-7.3, ,0.0, ,1.59, ,53.5,19.3,"Sbc",1,21.06,0.99,"cl0939/cl0939maa_26.fits  ",145.756,46.9918
328,c,"Cl 0939+47", ,54,0.4139, ,2,-2.3,:,2.5,:,1.86, ,53.3,24.6,"S0",0,20.67,1.56,"cl0939/cl0939mad_26.fits  ",145.7559,46.9933
331,c,"Cl 0939+47", ,57,0.4167, ,3,0.0, ,, ,1.88, ,53.0,26.4,"S0/a",0,20.44,1.49,"cl0939/cl0939mba_25.fits  ",145.7558,46.9938
293,c,"Cl 0939+47", ,19,0.4144, ,4,0.0, ,4.1,:,1.82, ,86.4,28.4,"Sab",0,21.27,1.55,"cl0939/cl0939dg92_441.fits",145.7694,46.9943
295,c,"Cl 0939+47", ,21,0.4061, ,1,0.0, ,, ,2.24, ,91.3,38.0,"E",0,19.91,1.73,"cl0939/cl0939dg92_460.fits",145.7714,46.997
572,f,"Cl 0939+47", ,95,0.4959, ,2,-45.1, ,0.0, ,1.27, ,83.5,33.3,"Scd",2,,,"cl0939/cl0939ewf_23.fits  ",145.7682,46.9957
296,c,"Cl 0939+47", ,22,0.3933, ,3,0.0, ,, ,2.14, ,80.1,46.4," ",,20.85,1.51,"cl0939/cl0939dg92_491.fits",145.7668,46.9993
307,c,"Cl 0939+47", ,33,0.4116, ,3,0.0, ,, ,2.37, ,143.8,55.4," ",,21.33,1.63,"cl0939/cl0939ewb_30.fits  ",145.7928,47.0018
291,c,"Cl 0939+47", ,17,0.4016, ,3,0.0, ,, ,2.23, ,15.3,25.8,"Sbc",3,21.63,1.23,"cl0939/cl0939dg92_434.fits",145.7404,46.9936
294,c,"Cl 0939+47", ,20,0.4125, ,2,0.0, ,11.6,:,1.56, ,15.0,32.7,"Sd",3,20.71,0.86,"cl0939/cl0939dg92_451.fits",145.7403,46.9955
306,c,"Cl 0939+47", ,32,0.4119, ,1,-6.9, ,10.2, ,1.62, ,20.6,40.4,"Sd",2,20.67,0.89,"cl0939/cl0939ewb_22.fits  ",145.7426,46.9977
298,c,"Cl 0939+47", ,24,0.4075, ,2,0.0, ,9.2, ,1.51, ,38.9,53.9," ",,20.63,1.14,"cl0939/cl0939dg92_511.fits",145.75,47.0014
297,c,"Cl 0939+47", ,23,0.4042, ,4,0.0, ,3.6,:,2.25, ,21.7,51.9," ",,21.81,1.26,"cl0939/cl0939dg92_504.fits",145.743,47.0009
299,c,"Cl 0939+47", ,25,0.4027, ,2,0.0, ,, ,2.01, ,7.1,56.8," ",,20.77,1.66,"cl0939/cl0939dg92_519.fits",145.7371,47.0022
334,c,"Cl 0939+47", ,60,0.4056, ,3,0.0, ,, ,2.26, ,67.3,114.6," ",,,,"cl0939/cl0939nsb_11.fits  ",145.7616,47.0183
589,f,"Cl 0939+47", ,112,0.3341, ,3,-36.3, ,, ,2.01, ,67.0,114.3," ",,,,"cl0939/cl0939nsb_13.fits  ",145.7615,47.0182
673,f,"Cl 0939+47", ,137,0.0, ,3,, ,, ,, ,75.2,133.1," ",,,,"cl0939/cl0939nsb_12.fits  ",145.7648,47.0234
594,f,"Cl 0939+47", ,117,0.3442,:,3,-15.3, ,12.1,:,2.69, ,12.8,82.9," ",,,,"cl0939/cl0939nsb_9.fits   ",145.7394,47.0095
333,c,"Cl 0939+47", ,59,0.3972, ,1,0.0, ,, ,0.86, ,-10.3,97.8," ",,,,"cl0939/cl0939nsb_10.fits  ",145.73,47.0136
590,f,"Cl 0939+47", ,113,0.6504, ,3,0.0, ,, ,1.73, ,22.5,238.3," ",,,,"cl0939/cl0939nsb_17.fits  ",145.7434,47.0526
335,c,"Cl 0939+47", ,61,0.4005, ,3,-11.5, ,, ,1.78, ,18.5,262.2," ",,,,"cl0939/cl0939nsb_18.fits  ",145.7417,47.0593
352,c,"Cl 1447+26", ,7,0.3797, ,2,-8.3, ,2.2,:,1.58, ,-1.6,-174.8," ",,,,"cl1447/cl1447wa1_1.fits   ",222.3716,26.0826
359,c,"Cl 1447+26", ,14,0.3637, ,2,0.0, ,, ,2.07, ,-5.1,-139.3," ",,20.16,1.28,"cl1447/cl1447wa1_3a.fits  ",222.3705,26.0924
360,c,"Cl 1447+26", ,15,0.3621, ,2,-3.1, ,, ,1.83, ,-4.5,-133.0," ",,20.36,0.95,"cl1447/cl1447wa1_3b.fits  ",222.3707,26.0942
358,c,"Cl 1447+26", ,13,0.3765, ,2,0.0, ,2.2, ,2.03, ,-38.3,-153.5," ",,19.88,1.47,"cl1447/cl1447wa1_2.fits   ",222.3602,26.0885
616,f,"Cl 1447+26", ,28,0.0624, ,2,0.0, ,4.2, ,1.93, ,-17.2,-63.7,"Sm/Irr",2,19.91,0.26,"cl1447/cl1447wa1_4.fits   ",222.3668,26.1134
364,c,"Cl 1447+26", ,19,0.3821, ,3,-11.6, ,, ,1.42, ,80.7,-9.5," ",,21.52,0.76,"cl1447/cl1447wa1_7.fits   ",222.3971,26.1285
365,c,"Cl 1447+26", ,20,0.3839, ,2,-12.7, ,6.1, ,1.42, ,75.2,1.5," ",,19.79,0.74,"cl1447/cl1447wa1_8.fits   ",222.3954,26.1315
613,f,"Cl 1447+26", ,25,0.1181, ,2,0.0, ,0.0, ,, ,134.2,60.4," ",,,,"cl1447/cl1447wa1_11.fits  ",222.4136,26.1479
363,c,"Cl 1447+26", ,18,0.3772, ,2,-50.1, ,2.3,:,1.41, ,-9.0,-26.5,"Sc",3,21.38,1.56,"cl1447/cl1447wa1_6a.fits  ",222.3693,26.1237
617,f,"Cl 1447+26", ,29,0.2327,:,4,-43.0, ,0.0, ,1.7, ,-9.4,-22.8,"S0/E",0,21.26,0.62,"cl1447/cl1447wa1_6b.fits  ",222.3692,26.1248
346,c,"Cl 1447+26", ,1,0.3857, ,2,-4.4,:,1.6, ,1.98, ,-50.7,-41.5,"Sa",1,20.65,1.24,"cl1447/cl1447maa_17.fits  ",222.3564,26.1196
361,c,"Cl 1447+26", ,16,0.3843, ,3,-3.6, ,2.0, ,1.24, ,-45.8,-45.0,"X",0,21.16,0.9,"cl1447/cl1447wa1_5a.fits  ",222.3579,26.1186
362,c,"Cl 1447+26", ,17,0.3796, ,2,-14.5, ,4.0, ,1.41, ,-44.8,-41.8,"Sb?",3,21.86,0.83,"cl1447/cl1447wa1_5b.fits  ",222.3582,26.1195
347,c,"Cl 1447+26", ,2,0.3693, ,1,0.0, ,, ,1.53, ,-36.0,2.8,"SBb",2,20.7,1.03,"cl1447/cl1447maa_21.fits  ",222.3609,26.1319
348,c,"Cl 1447+26", ,3,0.3791, ,1,0.0, ,2.4, ,1.98, ,-18.9,14.3,"E",0,19.77,1.35,"cl1447/cl1447maa_22.fits  ",222.3662,26.1351
349,c,"Cl 1447+26", ,4,0.3718, ,2,0.0, ,, ,1.77, ,-3.3,31.5,"E",0,19.86,1.1,"cl1447/cl1447maa_7.fits   ",222.3711,26.1399
366,c,"Cl 1447+26", ,21,0.3857, ,2,-13.7, ,7.2, ,1.31, ,38.8,20.6,"Scd",2,21.25,0.64,"cl1447/cl1447wa1_9a.fits  ",222.3841,26.1368
351,c,"Cl 1447+26", ,6,0.3739, ,3,, ,, ,1.7, ,23.6,51.9,"E",0,21.04,1.37,"cl1447/cl1447mad_9.fits   ",222.3794,26.1455
610,f,"Cl 1447+26", ,22,0.1547, ,3,-16.4,:,0.0, ,1.21, ,50.3,51.6,"SBd",2,20.7,0.5,"cl1447/cl1447maa_10.fits  ",222.3876,26.1454
611,f,"Cl 1447+26", ,23,0.5299, ,2,-51.0, ,0.0, ,1.7, ,49.0,52.0,"Sd/Sm",1,,,"cl1447/cl1447mad_7.fits   ",222.3872,26.1456
612,f,"Cl 1447+26", ,24,0.1211, ,3,, ,3.1, ,1.61, ,50.3,51.6,"SBd",2,20.7,0.5,"                          ",222.3876,26.1454
350,c,"Cl 1447+26", ,5,0.3689, ,3,-33.0, ,1.0,:,1.35, ,31.9,54.3,"Sc",1,,,"cl1447/cl1447maa_9.fits   ",222.382,26.1462
353,c,"Cl 1447+26", ,8,0.3774, ,2,-14.1, ,4.4, ,1.39, ,29.0,93.0," ",,20.74,0.78,"cl1447/cl1447wa1_12.fits  ",222.3811,26.1569
354,c,"Cl 1447+26", ,9,0.3774, ,1,-27.2, ,6.5, ,1.34, ,-30.1,103.8," ",,21.4,0.69,"cl1447/cl1447wa1_13.fits  ",222.3628,26.1599
614,f,"Cl 1447+26", ,26,0.1166, ,2,, ,0.0, ,, ,121.5,151.0," ",,,,"cl1447/cl1447wa1_14.fits  ",222.4097,26.1731
355,c,"Cl 1447+26", ,10,0.3764, ,1,-1.5,:,1.5, ,1.87, ,54.2,205.5," ",,20.22,1.28,"                          ",222.3889,26.1882
356,c,"Cl 1447+26", ,11,0.3691, ,1,-12.6, ,4.0,:,1.4, ,54.2,205.5," ",,19.93,0.83,"                          ",222.3889,26.1882
615,f,"Cl 1447+26", ,27,0.853, ,3,-19.7, ,0.0, ,1.4, ,54.2,205.5," ",,,,"                          ",222.3889,26.1882
357,c,"Cl 1447+26", ,12,0.376, ,2,-4.4, ,, ,1.69,:,57.6,264.3," ",,21.15,1.22,"                          ",222.3899,26.2045
400,c,"Cl 1601+42", ,34,0.5414, ,2,0.0, ,, ,2.2, ,-1.7,-178.1," ",,,,"cl1601/cl1601cm1_20.fits  ",240.7995,42.7075
399,c,"Cl 1601+42", ,33,0.5424, ,1,0.0, ,2.9, ,2.27, ,11.1,-150.4," ",,,,"cl1601/cl1601cm1_19.fits  ",240.8044,42.7152
652,f,"Cl 1601+42", ,93,0.6164, ,1,-7.7, ,4.3, ,1.7, ,-71.9,-173.1," ",,,,"cl1601/cl1601cm3_24.fits  ",240.773,42.7089
415,c,"Cl 1601+42", ,49,0.5399, ,2,0.0, ,, ,1.86, ,-77.2,-120.5," ",,21.23,1.6,"cl1601/cl1601cm3_22.fits  ",240.771,42.7235
398,c,"Cl 1601+42", ,32,0.5421, ,2,0.0, ,, ,1.8, ,-15.1,-131.7," ",,20.93,0.78,"cl1601/cl1601cm1_18.fits  ",240.7945,42.7204
416,c,"Cl 1601+42", ,50,0.5395, ,2,0.0, ,3.6, ,1.9, ,-4.0,-130.4," ",,23.12,0.78,"cl1601/cl1601cm3_23.fits  ",240.7987,42.7207
397,c,"Cl 1601+42", ,31,0.5444, ,1,0.0, ,7.4, ,1.76, ,-46.5,-109.9," ",,21.55,1.48,"cl1601/cl1601cm1_17.fits  ",240.7826,42.7264
413,c,"Cl 1601+42", ,47,0.5429, ,2,0.0, ,, ,1.97, ,-45.7,-86.2," ",,22.58,1.62,"cl1601/cl1601cm3_20.fits  ",240.7829,42.733
412,c,"Cl 1601+42", ,46,0.5376, ,2,0.0, ,6.6,:,2.0, ,-43.5,-70.9," ",,21.6,1.51,"cl1601/cl1601cm3_19.fits  ",240.7837,42.7372
392,c,"Cl 1601+42", ,26,0.5412, ,2,0.0, ,3.0, ,2.02, ,-38.8,-68.2," ",,20.41,1.53,"cl1601/cl1601dg92_243.fits",240.7855,42.738
391,c,"Cl 1601+42", ,25,0.5385, ,1,0.0, ,, ,1.25, ,-34.0,-58.8,"Sb",1,19.51,0.29,"cl1601/cl1601dg92_235.fits",240.7873,42.7406
395,c,"Cl 1601+42", ,29,0.5369, ,1,0.0, ,, ,2.08, ,-39.9,-53.3," ",,20.76,1.55,"cl1601/cl1601cm1_14.fits  ",240.7851,42.7421
396,c,"Cl 1601+42", ,30,0.5426, ,3,0.0, ,, ,1.76, ,-4.3,-76.1," ",,22.19,1.99,"cl1601/cl1601cm1_16.fits  ",240.7985,42.7358
675,f,"Cl 1601+42", ,100,0.0, ,4,, ,, ,, ,-4.1,-69.9," ",,,,"cl1601/cl1601cm1_15.fits  ",240.7986,42.7375
389,c,"Cl 1601+42", ,23,0.5404, ,2,0.0, ,4.5, ,2.35, ,-9.5,-35.3," ",,21.33,1.55,"cl1601/cl1601dg92_208.fits",240.7966,42.7471
382,c,"Cl 1601+42", ,16,0.5463, ,2,0.0, ,, ,2.69, ,13.7,-14.7,"E",0,21.01,1.75,"cl1601/cl1601dg92_191.fits",240.8053,42.7529
628,f,"Cl 1601+42", ,69,0.234, ,2,0.0, ,13.3,:,2.17, ,8.4,-14.1,"E",1,21.87,0.34,"cl1601/cl1601dg92_189.fits",240.8033,42.753
414,c,"Cl 1601+42", ,48,0.542, ,2,0.0, ,, ,1.86, ,-90.6,-104.7," ",,22.47,1.6,"cl1601/cl1601cm3_21.fits  ",240.7659,42.7279
631,f,"Cl 1601+42", ,72,0.7441, ,2,-43.3, ,3.8, ,1.44, ,-77.8,-66.8," ",,21.45,0.11,"cl1601/cl1601dg92_242.fits",240.7707,42.7384
393,c,"Cl 1601+42", ,27,0.5412, ,3,-20.2, ,11.0, ,1.53, ,-96.7,-72.7," ",,21.54,1.04,"cl1601/cl1601dg92_248.fits",240.7636,42.7368
387,c,"Cl 1601+42", ,21,0.5355, ,2,-49.5, ,, ,1.69, ,-97.2,-29.5,"Sd",2,22.69,0.51,"cl1601/cl1601dg92_203.fits",240.7634,42.7488
411,c,"Cl 1601+42", ,45,0.5382, ,3,0.0, ,, ,2.14, ,-62.2,-61.0," ",,22.7,1.86,"cl1601/cl1601cm3_18.fits  ",240.7766,42.74
388,c,"Cl 1601+42", ,22,0.5378, ,4,0.0, ,, ,1.61, ,-31.8,-35.2,"Sc",2,21.53,1.48,"cl1601/cl1601dg92_207.fits",240.7881,42.7472
630,f,"Cl 1601+42", ,71,0.8211, ,1,-14.7, ,3.5, ,1.43, ,-44.6,-40.9,"Sb",3,21.4,0.7,"cl1601/cl1601dg92_213.fits",240.7833,42.7456
424,c,"Cl 1601+42", ,58,0.5447, ,2,-13.4, ,3.5, ,1.39, ,-70.8,-46.8,"Scd",2,22.21,0.97,"cl1601/cl1601mad_18.fits  ",240.7734,42.7439
650,f,"Cl 1601+42", ,91,0.7472, ,3,-29.4, ,0.0, ,1.14, ,-70.8,-46.8,"Scd",2,22.21,0.97,"cl1601/cl1601cm3_17.fits  ",240.7734,42.7439
383,c,"Cl 1601+42", ,17,0.5366, ,4,0.0, ,, ,2.04, ,-66.0,-16.8,"Sbc",2,22.7,0.97,"cl1601/cl1601dg92_194.fits",240.7752,42.7523
633,f,"Cl 1601+42", ,74,0.9165, ,2,-42.1, ,0.0, ,0.88, ,-56.7,-9.0,"Irr/Sd",3,23.02,-0.09,"cl1601/cl1601cm1_12.fits  ",240.7787,42.7544
381,c,"Cl 1601+42", ,15,0.5469, ,3,0.0, ,3.4, ,1.68, ,-43.5,-0.5,"SBb",1,22.05,1.2,"cl1601/cl1601dg92_164.fits",240.7837,42.7568
380,c,"Cl 1601+42", ,14,0.5444, ,2,0.0, ,, ,2.17, ,0.0,0.0,"E",0,20.1,1.61,"cl1601/cl1601dg92_163.fits",240.8002,42.7569
657,f,"Cl 1601+42", ,98,0.7459, ,2,-23.0, ,0.0, ,1.38, ,0.0,0.0," ",,,,"cl1601/cl1601maa_18.fits  ",240.8002,42.7569
632,f,"Cl 1601+42", ,73,0.7367, ,3,-52.9, ,0.0, ,1.22, ,2.9,10.9,"Irr",4,22.87,0.25,"cl1601/cl1601cm1_11.fits  ",240.8013,42.76
376,c,"Cl 1601+42", ,10,0.539, ,4,0.0, ,, ,1.95, ,8.8,17.3,"Sa/S0",0,22.21,1.74,"cl1601/cl1601dg92_142.fits",240.8035,42.7617
410,c,"Cl 1601+42", ,44,0.5391, ,2,0.0, ,, ,2.1, ,-35.0,-4.6,"Sb(pec)",0,20.61,1.38,"cl1601/cl1601cm3_13.fits  ",240.7869,42.7557
377,c,"Cl 1601+42", ,11,0.5432, ,2,0.0, ,, ,2.34, ,-25.6,13.9,"E",0,21.21,1.72,"cl1601/cl1601dg92_146.fits",240.7905,42.7608
649,f,"Cl 1601+42", ,90,0.3187,:,3,0.0, ,0.0, ,1.74, ,-16.1,13.7,"Sc/Irr",1,,,"cl1601/cl1601cm3_12.fits  ",240.7941,42.7608
422,c,"Cl 1601+42", ,56,0.5438, ,2,0.0, ,, ,1.93, ,-7.1,31.1,"Sb",0,22.15,1.41,"cl1601/cl1601maa_8.fits   ",240.7975,42.7656
379,c,"Cl 1601+42", ,13,0.5406, ,3,0.0, ,, ,2.07, ,-73.2,3.8,"Sab",1,21.42,1.38,"cl1601/cl1601dg92_159.fits",240.7725,42.758
419,c,"Cl 1601+42", ,53,0.51, ,2,0.0, ,3.3, ,1.72, ,-64.4,-9.6,"S0/E",0,20.55,1.38,"cl1601/cl1601maa_16.fits  ",240.7758,42.7543
423,c,"Cl 1601+42", ,57,0.5415, ,4,0.0, ,7.1, ,1.43, ,-61.4,-8.0,"E",0,,,"cl1601/cl1601mad_16.fits  ",240.7769,42.7547
656,f,"Cl 1601+42", ,97,0.51, ,2,0.0, ,3.3, ,1.72, ,-64.4,-9.6,"S0/E",0,20.55,1.38,"cl1601/cl1601maa_16.fits  ",240.7758,42.7543
374,c,"Cl 1601+42", ,8,0.5364, ,1,0.0, ,, ,2.03, ,-61.8,29.6,"Sab",0,20.62,1.72,"cl1601/cl1601dg92_128.fits",240.7768,42.7652
646,f,"Cl 1601+42", ,87,0.7359, ,4,-10.3, ,0.0, ,1.17, ,-64.9,24.9,"Sc",1,22.25,0.92,"cl1601/cl1601cm2_7.fits   ",240.7756,42.7639
409,c,"Cl 1601+42", ,43,0.5355, ,2,0.0, ,, ,1.98, ,-34.3,27.4,"Sb/S0",0,22.32,1.23,"cl1601/cl1601cm3_11.fits  ",240.7872,42.7646
648,f,"Cl 1601+42", ,89,0.8182,:,4,-21.4, ,0.0, ,1.03, ,-36.9,32.9,"Sc",2,21.08,1.61,"cl1601/cl1601cm2_9.fits   ",240.7862,42.7661
647,f,"Cl 1601+42", ,88,0.8189, ,3,-6.6, ,6.1, ,1.21, ,-46.1,34.9,"Sb",1,22.85,0.82,"cl1601/cl1601cm2_8.fits   ",240.7827,42.7666
403,c,"Cl 1601+42", ,37,0.541,:,3,0.0, ,0.0, ,1.41, ,-34.2,38.3,"Scd",1,20.5,1.25,"cl1601/cl1601cm1_9.fits   ",240.7872,42.7676
372,c,"Cl 1601+42", ,6,0.5382, ,3,, ,, ,1.64, ,-33.2,40.5,"E",0,20.5,1.25,"cl1601/cl1601dg92_113.fits",240.7876,42.7682
638,f,"Cl 1601+42", ,79,0.7394, ,2,-35.9, ,0.0, ,1.34, ,-16.1,58.5,"E",2,22.63,0.94,"cl1601/cl1601cm2_10.fits  ",240.7941,42.7732
655,f,"Cl 1601+42", ,96,0.4213, ,3,0.0, ,0.0, ,1.98, ,-41.0,53.8,"E",0,22.84,1.0,"cl1601/cl1601cm3_9.fits   ",240.7847,42.7719
623,f,"Cl 1601+42", ,64,0.7406, ,4,-15.1, ,3.0, ,1.33, ,-17.2,75.6,"SBcd",2,21.7,0.65,"cl1601/cl1601dg92_75.fits ",240.7937,42.7779
367,c,"Cl 1601+42", ,1,0.5473, ,4,0.0, ,, ,2.17, ,-21.1,89.6," ",,21.59,1.41,"cl1601/cl1601dg92_59.fits ",240.7922,42.7818
643,f,"Cl 1601+42", ,84,0.2205, ,2,-20.3, ,5.3, ,1.43, ,-124.5,-9.9," ",,22.31,-0.02,"cl1601/cl1601cm2_4.fits   ",240.7531,42.7542
642,f,"Cl 1601+42", ,83,0.2092, ,2,-34.6, ,3.1, ,1.7, ,-139.9,4.8," ",,21.89,0.23,"cl1601/cl1601cm2_3.fits   ",240.7472,42.7583
637,f,"Cl 1601+42", ,78,0.219, ,1,-41.9, ,7.6, ,1.62, ,-180.9,37.3," ",,,,"cl1601/cl1601cm2_1.fits   ",240.7317,42.7673
407,c,"Cl 1601+42", ,41,0.5348, ,2,0.0, ,4.4,:,2.07, ,-157.8,23.2," ",,,,"cl1601/cl1601cm2_2.fits   ",240.7405,42.7634
645,f,"Cl 1601+42", ,86,0.6447, ,3,-24.8, ,0.0, ,1.3, ,-90.5,48.6," ",,21.66,1.57,"cl1601/cl1601cm2_6.fits   ",240.7659,42.7704
370,c,"Cl 1601+42", ,4,0.5356, ,3,0.0, ,4.1, ,1.88, ,-76.2,56.9,"Sb",0,21.54,1.45,"cl1601/cl1601dg92_98.fits ",240.7713,42.7727
644,f,"Cl 1601+42", ,85,0.7179, ,3,-16.9, ,0.0, ,1.19, ,-106.5,66.2," ",,22.11,0.74,"cl1601/cl1601cm2_5.fits   ",240.7599,42.7753
654,f,"Cl 1601+42", ,95,1.03,:,3,-36.6, ,0.0, ,0.84, ,-88.9,72.1,"Irr/Sd",2,,,"cl1601/cl1601cm3_8.fits   ",240.7665,42.777
368,c,"Cl 1601+42", ,2,0.5404, ,1,, ,, ,2.09, ,-59.9,78.4,"E",0,20.97,1.39,"cl1601/cl1601dg92_72.fits ",240.7775,42.7787
619,f,"Cl 1601+42", ,60,0.429, ,2,-8.7, ,2.0, ,1.68, ,-51.3,126.0," ",,20.54,0.81,"cl1601/cl1601dg92_31.fits ",240.7808,42.7919
418,c,"Cl 1601+42", ,52,0.5391, ,2,0.0, ,, ,1.77, ,-95.0,117.5," ",,22.33,1.9,"cl1601/cl1601cm3_5.fits   ",240.7642,42.7896
417,c,"Cl 1601+42", ,51,0.5312, ,2,0.0, ,, ,1.96, ,-72.4,137.6," ",,22.08,1.48,"cl1601/cl1601cm3_4.fits   ",240.7728,42.7952
653,f,"Cl 1601+42", ,94,0.2097, ,3,-24.4, ,7.0, ,2.05, ,-56.7,152.4," ",,20.61,0.19,"cl1601/cl1601cm3_3.fits   ",240.7787,42.7993
390,c,"Cl 1601+42", ,24,0.543, ,3,0.0, ,4.1, ,1.91, ,126.4,-58.3," ",,21.15,1.49,"cl1601/cl1601dg92_234.fits",240.848,42.7407
629,f,"Cl 1601+42", ,70,0.223, ,4,-68.0, ,0.0, ,1.33, ,125.8,-39.5," ",,22.29,0.2,"cl1601/cl1601dg92_212.fits",240.8478,42.746
639,f,"Cl 1601+42", ,80,0.06,:,3,, ,, ,1.45,:,122.5,-4.5," ",,22.52,1.32,"cl1601/cl1601cm2_18.fits  ",240.8465,42.7557
641,f,"Cl 1601+42", ,82,0.295, ,3,0.0, ,0.0, ,2.28, ,197.8,80.9," ",,,,"cl1601/cl1601cm2_22.fits  ",240.875,42.7794
384,c,"Cl 1601+42", ,18,0.5445, ,1,0.0, ,5.8, ,1.91, ,60.9,-18.8," ",,20.78,1.37,"cl1601/cl1601dg92_195.fits",240.8232,42.7517
627,f,"Cl 1601+42", ,68,0.8895,:,4,-15.0, ,0.0, ,1.49, ,68.8,-6.0," ",,21.02,-0.06,"cl1601/cl1601dg92_179.fits",240.8262,42.7553
386,c,"Cl 1601+42", ,20,0.5319, ,2,-5.9,:,7.5,:,1.64, ,101.3,-25.5," ",,21.2,1.33,"cl1601/cl1601dg92_199.fits",240.8385,42.7499
378,c,"Cl 1601+42", ,12,0.5228, ,2,-19.0, ,, ,1.32, ,109.2,9.4," ",,21.54,0.63,"cl1601/cl1601dg92_150.fits",240.8415,42.7596
626,f,"Cl 1601+42", ,67,0.1775, ,3,0.0, ,0.0, ,1.17, ,93.5,26.4," ",,20.68,-0.02,"cl1601/cl1601dg92_134.fits",240.8355,42.7643
373,c,"Cl 1601+42", ,7,0.5223, ,4,-15.2, ,, ,2.0, ,114.5,36.2," ",,20.95,1.58,"cl1601/cl1601dg92_117.fits",240.8435,42.767
385,c,"Cl 1601+42", ,19,0.5393, ,2,0.0, ,, ,2.32, ,44.4,-21.1," ",,20.75,1.44,"cl1601/cl1601dg92_198.fits",240.817,42.7511
